Region,Application/Plan,Operation,A7 Job Name,Production Job Match,Mapping Status,Expected Duration (min),Avg Runtime Jun-26 (min),P95 Runtime Jun-26 (min),Run Count,Avg Runtime Dec-25 (min),P95 Runtime Dec-25 (min),Run Count Dec-25,SLA Start,SLA End/Cut-off,Criticality,Area,Job Description,Executed Programs,Referenced Datasets (max 30),Source Reference,Validation Status,Environment Status,Implementation Status,Frequency
MY,TMYCLKA7,CPU_001,J7START,,Dev only - not in Prod,1,,,0,,,,,,Development only,,Not implemented in production; runs in development only.,,,A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt; user confirmation 2026-07-19,User confirmed dev-only,Development,Not implemented in production,
MY,TMYCLKA7,CPU_002,J7AEM#1,JOAEM#1,Matched,10,0.1,0.13,32,0.1,0.12,31,,,Standard,,,,&CNTLLIB(OADC200A),A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_013,J7IEOD,JAIEOD,Matched,10,6.52,11.42,32,5.99,9.6,31,,,Standard,,,,PRDCAU.BTHLOD.MY20A2 PRDCSS.BTHLOD.MY20A2,A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_014,J7IEOD2,JAIEOD2,Matched,10,3.37,4.5,32,2.79,3.43,31,,,Standard,,,IDCAMS,PRDCAU.BKPVSM.MY20A2.AUSYS.JCP2028R PRDCIS.BKPVSM.MY20A2.CPSYSA.JCP2028R PRDCIS.BKPVSM.MY20A2.CPSYSB.JCP2028R,A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_015,J7P2715U,JCP2715U,Matched,1,0.08,0.12,32,0.1,0.12,31,,,Standard,,,AUU000 AUU001 CPDFP003 ICETOOL IDCAMS IEFBR14 SORT,&CNTLLIB(AUU001D) &CNTLLIB(CPDFPRD1) &CNTLLIB(CPDFPRD2) &CNTLLIB(CPDFPRLG) &CNTLLIB(CPDFPRM1) &CNTLLIB(CPDFPRM2) &CNTLLIB(CPDFPRMB) &CNTLLIB(CPDLPRD1) &CNTLLIB(CPDLPRD2) &CNTLLIB(CPDLPRLG) &CNTLLIB(CPDLPRM1) &CNTLLIB(CPDLPRM2) &CNTLLIB(CPDLPRMB) &CNTLLIB(RESETCC) &ENV.CAU.ONLVSM.&VER.AUSYS &ENV.CIS.BTHVSM.&VER.CPBSYS &ENV.CRD.BTHSEQ.&VER.CPBPRD &ENV.CRD.BTHSEQ.&VER.CPBPRM &ENV.CRD.BTHSEQ.&VER.CPPRLG &ENV.CRD.BTHVSM.&VER.CPBPRM &ENV.CRD.ONLVSM.&VER.CP1PRD &ENV.CRD.ONLVSM.&VER.CP1PRM &ENV.CRD.ONLVSM.&VER.CP2PRD &ENV.CRD.ONLVSM.&VER.CP2PRM &ENV.CRD.ONLVSM.&VER.CPPRLG,A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_016,J7IDHST,JAIDHST,Matched,10,12.13,15.22,32,9.44,12.8,31,,,Standard,,,,,A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_019,J7USM#1,JAUSM#1,Matched,10,0.19,0.22,32,0.19,0.2,31,,,Standard,,,,&CNTLLIB(AUD500A),A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_020,J7UBKEOD,JAUBKEOD,Matched,10,0.13,0.17,32,0.13,0.23,31,,,Standard,,,IDCAMS,PRDCAU.BKPVSM.MY20A2.AULOG1.EOD.AFTER PRDCAU.BKPVSM.MY20A2.AULOG2.EOD.AFTER PRDCAU.BKPVSM.MY20A2.AULOG3.EOD.AFTER PRDCAU.BKPVSM.MY20A2.AUSYS.EOD.AFTER PRDCAU.BTHLOD.MY20A2 PRDCSS.BTHLOD.MY20A2,A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_021,J7UEOD,JAUEOD,Matched,10,11.8,15.27,32,9.63,13.43,31,,,Standard,,,,PRDCAU.BTHLOD.MY20A2 PRDCSS.BTHLOD.MY20A2,A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_022,J7UEOD2,JAUEOD2,Matched,10,1.71,2.22,32,1.52,1.82,31,,,Standard,,,,PRDCAU.BTHLOD.MY20A2 PRDCSS.BTHLOD.MY20A2,A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_023,J7UD800,JAUD800,Matched,10,0.07,0.1,32,0.06,0.08,31,,,Standard,,,,PRDCAU.BTHLOD.MY20A2 PRDCIS.BTHLOD.MY20A2 PRDCSS.BTHLOD.MY20A2,A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_024,J7UU801,JAUU801,Matched,10,0.09,0.12,32,0.1,0.12,31,,,Standard,,,IDCAMS,PRDCAU.BKPVSM.MY20A2.AUCRFL PRDCAU.BTHLOD.MY20A2,A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_026,J7UDHST,JAUDHST,Matched,10,6.03,8.27,32,4.41,5.98,31,,,Standard,,,,,A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
